word	TextCount	TextLength
abbhujjalana?	2	13
abbhukirati	1	11
abbhukiri?	1	10
abbhukkira?amatto	1	17
abbhukkira?o	1	12
abbhukkirati	2	12
abbhukkiri	2	10
abbhukkirim	1	11
abbhukkiritv?	2	13
Abbhu?	1	6
abbhu?	1	6
abbhu?gam?	1	10
abbh??hanahetu	1	14
abbh??hi	1	8
abbhunnadit?	1	12
abbhunn?metv?	2	13
abbhunn?meyya?	1	14
abbhunnamitv?	1	13
abbhunnat?	1	10
abbhu??at?	1	10
abbhunnata?	1	11
abbhusakkam?no	1	14
abbhus?kkam?no	1	14
abbhussa	2	8
abbhussagg	1	10
abbhussahanat?	2	14
abbhussakkam?do	1	15
abbhussakkam?no	3	15
abbhussatt	1	10
abbhuss?kkam?do	1	15
abbhussukkam?no	6	15
abbhuta	1	7
abbhut?	45	7
abbh?ta	1	7
abbh?t?	2	7
abbh?tabbhakkh?nasa?vattaniko	1	29
abbhutacittaj?t?	1	16
abbhutadassaneyya?	1	18
abbh?tadh	1	9
abbhutadhamm?	2	13
abbhutadhamma?	46	14
abbhutadhammasamann?gat?	3	24
abbhutadhammaso	5	15
abbhutadhammo	2	13
abbhutag?miñca	1	14
abbh?takkh?na	1	13
Abbhutam	2	8
abbhutam	30	8
abbhuta?	182	8
abbh?tam	1	8
abbh?ta?	5	8
abbhutan	2	8
Abbhutañca	1	10
abbhutañceva	1	12
abbhutehi	20	9
abbhutena	1	9
abbhutiti	1	9
Abbhuto	3	7
abbhuto	70	7
abbh?to	2	7
abbhutta?	1	9
abbhu??h?hi	1	11
abbhu??h?si	3	11
abbhu??hito	2	11
abbhuy?to	2	9
abbhuye	1	7
abbhuyha	1	8
abbh?yya	1	8
abbhuyy?si	5	10
abbhuyy?to	5	10
abbhy?	1	6
abbinimmineyy?m?	1	16
abbiññeyya?	1	11
abbo	1	4
abbocch	1	7
abbocchinna?	3	12
abbocchi??a?	1	12
abbocchinnaviriya?	1	18
abbocchinnaviriyena	1	19
abbodhay?hasaññ?	1	16
abboh?rik?	3	10
abboh?rika?	1	11
abboh?rikan	1	11
abboh?rik?ni	1	12
abboh?riya?	2	11
abbok?so	1	8
abboki???	5	9
abbokinna?	1	10
abboki??a?	29	10
abboki???ni	1	11
abboki??o	1	9
abbr?hma??	1	10
abbreviate	4	10
Abbreviated	5	11
abbreviated	29	11
abbreviates	2	11
abbreviating	5	12
abbreviation	13	12
abbreviations	4	13
abbu	1	4
Abbud?	2	6
abbud?	6	6
Abbudak?le	1	10
abbuda?	6	7
abbud?ni	7	8
Abbudanirabbud?ni	1	17
Abbudo	2	6
abbudo	4	6
abb?hana?	1	9
abbuhe	2	6
